,Tweet,Date,User
29,Teesside University Beth Mead Scholarship Grants for International Students in UK 2022-2023 https://t.co/144oL7dJrr,2022-04-28 12:08:39+00:00,updatefly
30,"The reason why I decided to accept KGSP offer and spend (read:waste) 5 years of my youth in SK is inadequate financial resources. I am not from a high income family so as the eldest, rejecting a scholarship offer is not an option.",2022-04-28 12:08:37+00:00,didyazhar
31,https://t.co/ljhvIOxQ87,2022-04-28 12:08:32+00:00,MmaBalu
32,"@sportssapphic yeah, these pro athletes are making an average salary but paying in the higher tax bracket. also why they take the whole 4 years in college to take advantage of the scholarships they get.",2022-04-28 12:08:15+00:00,PoloGoods
33,"New from the AAAS-ARISE project—My colleague Dr. Sandra Adams and I write about our lessons learned from running a scholarship program for undergraduate pre-service STEM teachers in the @montclairstateu @NoyceProgram here: 

https://t.co/6Xzk8vup41 https://t.co/tNqFOrgnOi",2022-04-28 12:08:11+00:00,douglarkin01
34,"LAST CHANCE! Our April scholarship celebrating Earth Day ends tomorrow ⏳

🌎How do you show your love for Planet Earth through your academic, professional, or personal efforts? Apply here 👉🏿 https://t.co/VLfeAG6nvl https://t.co/1PuavAn4M8",2022-04-28 12:08:00+00:00,MPOWERfinancing
35,"#Ethiopian authorities denied 100s of #Eritrean #refugees in #AddisAbeba, a travel document, and an exit visa, for the process of a family reunion, resettlement, scholarship, medical, etc in the #US, #EU, #Canada, #Australia. +2600 cases confirmed @RadioErena. https://t.co/2HR1280duZ",2022-04-28 12:07:56+00:00,RadioErena
36,I just won the #I4GDataCamp scholarship and I’m thrilled to learn data skills and build my data career. 🥳🥳🥰🥰Thanks to @ingressive4Good and @datacamp.,2022-04-28 12:07:48+00:00,Kyallo_10
37,"It's the third and final day of @EngageAtPC's Celebration of Student Scholarship and Creativity! Stop by Moore Hall for talks 2:15 - 3:15pm, and posters 2:00 - 4:00 pm. Another set of #FriarBio students are ready to share their #PCresearch! https://t.co/nEaJgafVfP",2022-04-28 12:07:47+00:00,FriarBiology
38,".@WakeForest Junior Tal Feldman has been named a 2022 Truman Scholar. “Winning a scholarship like this takes a village. It took professors who inspired me, great friends who worked with me, and my family who supported me.”  https://t.co/MiL41l1PKD",2022-04-28 12:07:40+00:00,RickHarkey
39,Nevermind i just needed to get a scholarship letter thing i live another day https://t.co/nhNVaQ7sCp,2022-04-28 12:07:36+00:00,cornedbeefratio
40,Powerful message to Ministers to further strengthen the Commonwealth Scholarship and Fellowship Plan from Professor Stephen Kiama @uonbi delivered on behalf of @The_ACU https://t.co/lpAXa3blZG,2022-04-28 12:07:28+00:00,RichardGrubb
41,"""Commonwealth fellowship and scholarships have really helped many students in higher education to achieve their career goals"" @vcuonbi Vice chancellor at @uonbi during the ongoing session #21CCEM Day 2
@EduMinKenya @NatcomUnescoKe @UnescoEast https://t.co/OPX2432B84",2022-04-28 12:07:18+00:00,UnescoYouthKe
42,"ISTI Portal has a vast repository of around 7000 scientific organisations apart from maintaining a huge library of research, findings, scholarships, startups, programs and schemes, etc.

Explore the possibilities: https://t.co/NmJiqdPXeV

@PrinSciAdvOff @IndiaDST @VigyanPrasar",2022-04-28 12:07:07+00:00,ISTIPortal
43,"EXCLUSIVE: The @USArmy (&amp; other @DeptofDefense groups) has discussed an initiative to take over Olympic college sports, funding athletic scholarships currently paid by schools in exchange for service from athletes.

More from me and @DanielLibit 👇
https://t.co/m8F1kClG6n",2022-04-28 12:07:00+00:00,novy_williams
44,"@m_cattle @DWPippy I got a ROTC scholarship while attending @UConn  Many young people go into the military service because it helps to pay for college. I'd tend to agree with you Mickey, unless we bring back the draft or something like that.",2022-04-28 12:06:59+00:00,HappyPete55
45,Winners stand a chance to win a fully paid scholarship to study at an arts institution of their choice in South Africa. The submission deadline is 22 May. https://t.co/Xg1Z5ulwbL @actorgza,2022-04-28 12:06:39+00:00,MusicInAfrica
46,"Oh shut up. ""But I didn't get the same stuff sister did!"" Talk about sounding like a whiney petulant child. Good gravy. Let's not forget she also state she was on an almost full scholarship. https://t.co/AHHqvO9Jue",2022-04-28 12:06:32+00:00,XxSigma79xX
47,Technovators for Social Good Scholarship to Attend the One Young World Summit 2022 https://t.co/3EQIxkH4oK,2022-04-28 12:06:21+00:00,sabonewsorg
48,"@MattSmi81658311 @PRGuy17 Been like that forever.
Dad won scholarship to one of top ones in Qld &amp; hated it for its culture, brutality, bullying.
BIL also went to another big name one in Brissie, sex abuser on staff at the time. He’s mentioned several times of subsequent high suicide rate in his year. Sad.",2022-04-28 12:06:15+00:00,RoseDenim
49,https://t.co/W7D3muDaOZ,2022-04-28 12:06:09+00:00,Fefe_M90
50,https://t.co/ljhvIOxQ87,2022-04-28 12:06:02+00:00,MmaBalu
